ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0
1,227.4350484,22305.56741,10.33391789,1,554.8200865,16.33169328,45.38281518,4.133422644,0
6.660212026,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.04231805,3.749701241,0
1,215.9778587,17107.22423,5.607060453,326.9439777,436.256194,14.18906221,59.85547583,5.459250956,0
3.902475686,196.9032467,21167.5001,6.996311586,1,444.4788825,16.60903316,90.18167588,4.528522696,0
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0
1,145.7681806,13224.93564,7.906444721,304.0019928,298.9906665,12.72952472,49.5368488,4.004871128,0
1,266.4210181,26362.96501,7.70006347,395.3894903,364.4801067,10.34895076,53.00838135,3.991564248,0
1,148.1530614,15193.41347,9.046832707,307.0117926,563.8047433,16.56865557,52.67618503,6.038184953,0
7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0
9.825489908,190.7566183,19677.89247,6.757540731,1,452.8362349,16.8990378,47.08197119,2.857472426,0
10.43329098,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347839,5.057310517,0
7.414148196,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,0
1,232.280452,14787.20626,5.474914832,1,383.981723,12.16693715,86.08072748,5.029166724,0
5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132,3.902088768,0
3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0
5.618064406,304.2359121,17281.97517,6.101083505,1,399.4715663,12.26500158,81.58899246,2.896546941,0
1,143.4537313,19942.27322,5.890754583,1,427.1306715,22.46989199,53.12409422,2.907563915,0
1,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0
1,233.8589957,11703.92391,4.599387943,309.0393204,349.3996325,18.33889255,42.67746528,3.510004045,0
5.331940479,194.8740654,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,59.57271371,4.434820258,0
7.145771545,238.6899285,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,66.13804475,5.182590704,0
9.920691059,202.817483,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,71.83362396,4.69070723,0
4.758439425,183.3494541,21568.42878,4.731348985,1,403.9441682,18.66822946,66.91240003,4.542801462,0
5.702925977,216.8504739,35606.44018,7.184351089,1,504.6382604,16.14079002,77.53618352,4.137739016,0
6.953864226,209.638293,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,87.39088898,3.195710328,0
10.68296643,173.3754984,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,78.47278445,3.999775382,0
1,129.8905723,34415.85315,6.32192899,304.5352242,470.3291685,18.59940992,72.40363387,4.405586,0
1,200.1914004,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,47.93087188,3.626135442,0
1,168.3884308,27492.30731,7.046224798,299.8204779,383.79502,16.18206649,75.72943389,3.048057223,0
7.809631898,100.4576151,12013.55063,5.212314602,247.200826,605.2201244,9.61134874,66.08417364,2.447444464,0
6.652488091,145.0101719,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0
9.147197055,211.7141418,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,47.63488493,3.794531591,0
10.56074464,181.8933656,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,34.25204908,3.96468635,0
7.484254838,260.0921726,30616.61515,9.379133541,1,404.6707773,15.93448387,66.62102655,4.781188177,0
8.520806573,238.3351125,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0
4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
1,157.8011936,16963.62501,8.33561855,300.0442343,360.9959945,12.82386095,71.7170051,4.405385706,0
1,155.0557268,20557.24043,8.18731905,1,290.1809831,16.62225518,59.62205746,4.08990769,0
3.906078355,233.402835,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0
6.391353624,213.0178297,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0
1,229.4856937,35729.69271,8.810843045,384.9437789,296.3975472,16.92709218,1,3.855602212,0
8.692092013,195.1437388,24656.23968,8.231900338,1,398.345418,12.38077079,48.44072487,4.477960248,0
8.085759801,127.7396738,32653.91036,6.53423741,1,416.2396301,11.11965925,78.27505004,4.068688909,0
6.203977702,212.3066183,21815.07415,7.873991885,1,362.1080043,14.93301266,63.87381995,5.215689206,0
5.058108869,238.5693804,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,76.52179975,5.106655774,0
1,103.4647587,27420.16742,8.417305032,1,485.9745005,11.35113273,67.86996368,4.620793452,0
1,211.200526,12830.48413,4.502117034,326.9615176,333.329848,16.04514848,49.89840564,3.439740042,0
7.261550522,179.8897882,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
5.704764776,116.2993299,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0
6.217273135,130.9444639,19460.38282,7.092462955,300.131272,556.65371,14.08360835,57.89707471,5.325833446,0
8.67993497,242.2286673,22984.05095,7.518764659,1,352.9425881,18.70440906,69.90790245,3.873470298,0
1,219.3009142,14859.46642,5.598326766,344.4423937,425.2135748,15.77183437,49.35200148,4.655916599,0
6.897322141,211.3601667,25650.77764,6.766009907,1,383.0143102,13.93478804,90.52332986,5.02278363,0
3.514545529,158.7320758,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,79.85092857,3.762615331,0
3.722500486,163.6397469,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0
6.455004797,176.6839728,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,57.72972383,2.293431406,0
7.316804754,217.522862,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,69.50921982,3.50837265,0
1.844538366,233.7643427,28689.59578,7.7244323,1,410.3872638,15.6118593,54.29944409,5.013463351,0
5.519125656,168.728583,12531.60192,7.730722948,1,443.5703721,18.0990781,1,3.75899586,0
7.408985467,204.9617498,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,81.10693773,3.772420928,0
5.976769618,258.952732,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,82.46979843,2.994671096,0
6.395359132,133.8342291,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,95.02660928,4.191217515,0
6.20964226,195.4177209,13116.70771,7.879347671,1,417.241656,7.507662315,70.54738691,3.612519615,0
6.762832522,232.0751766,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,64.81225738,4.916579161,0
9.918717064,199.1812511,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,59.29227327,3.385508444,0
10.15544017,300.2924758,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,67.91978869,5.00246726,0
8.721726711,206.3696824,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,42.38148394,2.555026904,0
1,197.9797828,17153.30616,7.659203939,329.2803146,575.1146944,11.87098148,69.10983568,4.383921814,0
1,199.1078856,29721.91163,6.869690215,357.303221,420.7095912,9.226618665,55.29428327,3.355164642,0
6.099646705,237.9199268,20416.841,8.457830699,1,291.1048366,19.27005426,93.13800948,3.172789769,0
9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0
6.953371603,203.1465468,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,55.95800559,3.651865808,0
6.140877557,197.8760897,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,41.26364788,5.359460295,0
7.077874007,220.6705396,23873.37821,6.181839616,341.9872341,333.0507859,10.66179894,90.29777033,4.764508265,0
5.488314309,135.8023617,21485.1532,8.187415791,280.6032867,441.3311375,14.86026268,88.28734556,5.066786272,0
7.205559175,120.3276153,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,63.73373237,3.710053126,0
